OpenGov Record #,CASE #,PARCEL #,Auditor Listed Address,PROJECT NAME,LOCATION,APPLICATION TYPE,ZONING,P&Z APPROVAL,COUNCIL APPROVAL
,95-0056LR,,,Tamburo residence,4160 Dublin Rd,Lot split,A-1,12/14/1995,n/a
,95-0057LR,,,Yang residence,3712 Scioto Run Blvd,PND modification,PND (Scioto Run),12/14/1995,
,95-0058LR,,,Lee property,4787 Jeannette Rd,Rezoning to R-4,R-3,12/14/1995,
,95-0059LC,,,Capital Improvements Program,,,,12/14/1995,
,96-0001LR,,,Rockford Homes & Robert Taggart Co.,Southwest corner of the Mill Run subdivision,PUD modification - condominiums,PUD (Mill Run),02/08/1996,3/11/1996 (96-C-07)
,96-0002LR,,,"The Epcon Group, Inc.",Heritage Club Dr,PUD modification - condos,PUD (Heritage Lakes,02/08/1996,
,96-0003LR,,,Brookfield Village Section 6,,Final plat,PND (Brookfield Village),02/08/1996,
,96-0004LC,,,Assisted Living & Nursing Care Center,Mill Run Dr & Mill Meadow Dr,PUD modification,PUD (Mill Run),02/08/1996,
,96-0005LR,,,Rebecca & Pat Lee c/o William Mokris,4164 Maystar Way,PND modification,PND (Scioto Run),02/08/1996,n/a
,96-0006LC,,,Phillip Martin,North of Scioto Darby at Walcutt Rd,Conditional use transfer from M-4 to B-4 to permit warehousing,B-4,02/08/1996,
,96-0007LC,,,S&G Metal Works,4830 Northwest Pkwy,"M-5 plan - 54,000 sq ft addition",M-5,03/14/1996,n/a
,96-0008LC,,,"Saber Diamond Tools, Inc.",4324 Reynolds Dr,M-5 plan & variance for lot coverage,M-5,03/14/1996,n/a
,96-0009LC,,,Scioto Valley,4577 Lyman Dr,M-5 plan modification,M-5,04/11/1996,n/a
,96-0010LC,,,Tinapple Plaza (The Slane Co.),Hilliard Rome Rd & Tinapple Rd,Lot splits & right-of-way vacation,B-4,04/11/1996,
,96-0011LR,,,James & Terri Diesing,3812 Carriage Run Dr,PND modification,PND (Carriage Run),05/09/1996,n/a
,96-0012LC,,,Pete Miller,4537 Cemetery Rd,Informal review,,Reviewed 4/11/96,n/a
,96-0013LR,,,Chad Cunningham,3821 Carriage Run Dr,PND modification,PND (Carriage Run),05/09/1996,n/a
,96-0014LC,,,Hilliard Jaycees (Incredible Universe site),3599 Park Mill Run Dr,Temporary use - festival,PUD (Mill Run),Withdrawn 5/13/1996,n/a
,96-0015LC,,,Pete Miller,4537 Cemetery Rd,Approval & compliance of overlays,,05/16/1996,n/a
,96-0016LC,,,"ESA Development, Inc.",3950 Lyman Dr,Conditional use - hotel,M-5,Withdrawn,n/a
,96-0017LR,,,David Walkins c/o Elite Home Remodeling,4160 Bowmansroot Ct,PND modification,PND (Scioto Run),06/13/1996,n/a
,96-0018LC,,,"Xytec Coatings, Inc.",3650 Parkway Ln,M-5 plan,M-5,06/13/1996,n/a
,96-0019LR,,,"Multicon Builders, Inc.",4125 & 4141 Dublin Rd,Rezoning to PND,A-1,06/13/1996,
,96-0020LC,,,Tinapple Plaze (The Slane Co.),Hilliard Rome Rd & Tinapple Rd,Dedication plat & landscape plan,B-4,06/13/1996,
,96-0021LC,,,City of Hilliard Zoning Code,,Code amendment - include nursery school & daycare facilities as conditional use in B-1 & B-3,,06/13/1996,
,96-0022LC,,,"Micro Electronics, Inc.",4119 Leap Rd,M-5 plan modification,M-5,06/13/1996,n/a
,96-0023LR,,,Francis Barnes,Terminus of Moundview Rd,Recommend fee in lieu of park land dedication,,06/13/1996,
,96-0024LC,,,William Halley,Madison St & Wayne St,Lot splits & right-of-way vacation,B-6,Withdrawn,n/a
,96-0025LC,,,"Xytec Coatings, Inc.",3650 Parkway Ln,M-5 plan & variance for front yard,M-5,07/11/1996,n/a
,96-0026LR,,,Fairway Commons,East side of Alton Darby Rd,PUD modification,PUD (Heritage Lakes,08/08/1996,
,96-0027LC,,,Charles Call,Madison St & Wayne St,Lot splits,B-6,08/08/1996,n/a
,96-0028LC,,,Saturn West Abra Collision & Glass Repair,3930 Ridgemill Dr,PUD modification,PUD (Mill Run),08/08/1996,
,96-0029LC,,,Frad & Laura Smith,4579 Avery Rd,Rezoning to B-1,R-2,Denied 9/12/1996,
,96-0030LC,,,Robb Mitchell,5001 Cemetery Rd,Rezoning to B-1,R-2,08/08/1996,
,96-0031LC,,,F&R LP,4279 Cemetery Rd,Conditional use transfer from B-4 to M-5 to permit automotive sales,M-5,Withdrawn,n/a
,96-0032LC,,,Gentry Fire Protection,3540 Parkway Ln,Conditional use - warehousing,M-5,08/08/1996,n/a
,96-0033LC,,,Sam & Shirley Tornik,2740 Hilliard Rome Rd,Rezoning to B-1,R-1,Denied 11/14/1996,
,96-0034LC,,,Zaring Campbell Co. Ltd.,Heritage Club Dr west of Main St,Lot split,PUD (Heritage Lakes,09/12/1996,n/a
,96-0035LC,,,"Petco, Inc.",4079 Lyman Dr,M-5 plan modification,M-5,10/10/1996,n/a
,96-0036LC,,,Zaring Campbell Co. Ltd.,Heritage Club Dr west of Main St,PUD modification,PUD (Heritage Lakes,10/10/1996,
,96-0037LR,,,John Bradford,3629 Boathouse Dr,PUD modification,PUD (River Landings),10/10/1996,
,96-0038LC,,,Mid-Ohio Development Corp.,Weaver Court South,Conditional use - warehousing,M-5,12/12/1996,n/a
,96-0039LC,,,Strider property,East side of Alton Darby Rd between Roberts Rd & Scioto Darby Rd,Assign A-1 zoning classification,Rural (Twp),12/12/1996,
,96-0040LC,,,"Carr Farms, Ltd. Property",East side of Leppert Rd north of Davidson Rd,Assign A-1 zoning classification,Rural (Twp),12/12/1996,
,96-0041LC,,,Richard Signoracci,4011 Main St,Lot split,B-6,12/12/1996,n/a
,96-0042LC,,,Heritage Green,Main St,Easement vacation & dedication plat,PUD (Heritage Lakes),12/12/1996,
,97-0001LC,,,George Guffey property c/o Steve Bell,"3919 Parkway Ln, Suite 9",Conditional use - commercial recreation,M-5,,n/a
,97-0002LC,,,"Action Rentals, Inc.",4399 Cemetery Rd,Variance - outside storage,M-5,03/13/1997,n/a
,97-0003LC,,,Soma Company,"East side of I-270, south of Davidson Rd, north of Cemetery Rd",Rezoning to PUD,B-3,12/11/1997,10/26/1998 (Ord. 98-36)
,97-0004LR,,,Heritage Green,Main St & Heritage Club Dr,Compactor enclosure,PUD (Heritage Lakes),02/13/1997,n/a
,97-0005LC,,,Baesman Printing Corp.,4477 Reynolds Dr,M-5 plan - building addition,M-5,,n/a
,97-0006LR,,,James Lamb,5203 Norwich St,Lot split,B-6,03/13/1997,n/a
,97-0007LC,,,"CVI, Inc.",4200 Lyman Ct,Sign variance,M-5,03/13/1997,n/a
,97-0008LC,,,Trueman property,North of Hayden Run Rd & East of Wilcox Rd,"Rezoning to RR,R-2, R-6 & B-3",A-1,05/08/1997,
,97-0009LC,,,Michael Keith,5294 Franklin St,Alley vacation,B-6,04/10/1997,
,97-0010LC,,,Buckeye Nissan Collision Center,3959 Parkway Ln,Sign variance,M-5,,n/a
,97-0011LC,,,Jumbo Sports,3781 Park Mill Run Dr,Sign variance,PUD (Mill Run),,n/a
,97-0012LC,,,Tim Hortons,3850 Lyman Dr,Conditional use - restaurant,M-5,04/10/1997,n/a
,97-0013LR,,,Rick & Missy Starr,4590 Carrington Way,PUD Modification,PUD (Britton Farms),05/29/1997,
,97-0014LR,,,Susan Hunter,4579 Ashview Ct,PUD Modification,PUD (Britton Farms),06/12/1997,
,97-0015LR,,,Michael Williams,3774 Clay Bank Dr,PND Modification,PND (River Crossing),06/12/1997,n/a
,97-0016LR,,,John & Mary Hurley,3524 Scioto Run Blvd,PND Modification,PND (Scioto Run),06/12/1997,n/a
,97-0017LR,,,George Kontogiannis & Associates,North side of Heritage Club Dr approximately 450 feet west of Main St,PUD Modification & Final development plan,PUD (Heritage Lakes),07/10/1997,
,97-0018LC,,,Advance Auto Parts,4483 Cemetery Rd,B-5 plan,B-5,Withdrawn,n/a
,97-0019LR,,,Thomas & Theres Davis,3277 Garrison Ct,PND Modification,PND (Darby Glen),07/10/1997,n/a
,97-0020LC,,,Clarence Maxwell property,West side of Cosgray Rd approximately 980 feet north of Scioto Darby Rd,Lot split (5.575 acres),A-1,06/12/1997,n/a
,97-0021LC,,,Clarence Maxwell property,North of Scioto Darby Rd & west of Cosgray Rd,Lot split (15.542 acres),A-1,06/12/1997,n/a
,97-0022LC,,,Clarence Maxwell property,North of Scioto Darby Rd & west of Cosgray Rd,Lot split (14.400 acres),A-1,06/12/1997,n/a
,97-0023LC,,,Clarence Maxwell property,North of Scioto Darby Rd & west of Cosgray Rd,Lot split (1.000 acre),A-1,06/12/1997,n/a
,97-0024LC,,,AutoNation USA,3599 Park Mill Run Dr,PUD Modification & Final development plan,PUD (Mill Run),Denied 6/12/97,n/a
,97-0025LR,,,James Moore,4727 Brittonhurst,PUD Modification,PUD (Britton Farms),Denied 6/12/97,n/a
,97-0026LC,,,AutoNation USA,3599 Park Mill Run Dr,PUD Modification & Final development plan,PUD (Mill Run),Denied 6/12/97,n/a
,97-0027LC,,,Ohio State Medical Association,,PUD Modification & Final development plan,PUD (Mill Run),08/14/1997,9/8/1997 (97-C-30)
,97-0028LC,,,Max & Erma's,4279 Cemetery Rd,M-5 plan,M-5,07/10/1997,n/a
,97-0029LC,,,Traeger-Hilliard LP,4555 Lyman Dr,M-5 plan,M-5,07/10/1997,n/a
,97-0030LR,,,Gayle Hanson,4444 Winterringer St,Vacation of 5-foot easement,R-2,08/14/1997,
,97-0031LC,,,Chili's,3883 Park Mill Run Dr,PUD Modification & Final development plan,PUD (Mill Run),08/14/1997,9/8/1997 (97-C-34)
,97-0032LC,,,James Chakeres,5454 Franklin St,,,,
,97-0033LC,,,Speedy Muffler King - Dean Salts property,3816 Main St,CRCOD plan,B-4,09/11/1997,n/a
,97-0034LC,,,Dean Salts,3816 Main St,Temporary use - vegetable stand,B-4,Denied 8/14/97,n/a
,97-0035LR,,,Weston Trail,"East of Leppert Rd, south of Brixton subdivision",Sketch plan & Preliminary plat,R-2,,
,97-0036LR,,,Homewood Corp. property,East side of Leppert Rd approximately 500 feet north of the Rails to Trails bike path,Rezoning to R-2 (4.2 acres),A-1,09/11/1997,
,97-0037LC,,,Enterprise Rent-A-Car,4556 Cemetery Rd,Conditional use transfer from B-4 to B-2,B-2,10/09/1997,
,97-0038LC,,,Rich Products,4600 Northwest Pkwy,M-5 plan,M-5,10/09/1997,n/a
,97-0039LC,,,"SprintCom, Inc.",4130 Lyman Dr,Special permit for telecommunications tower,M-5,10/09/1997,n/a
,97-0040LC,,,Ed Emsweller (DicksonHughes Group),West side of Lyman Dr and south of Reynolds Dr,Special permit for telecommunications tower,M-5,Withdrawn,n/a
,97-0041LR,,,Charles & Patty Wille,2704 Rosebush Ct,PND Modification,PND (Brookfield Village),11/13/1997,n/a
,97-0042LR,,,"Davidson Phillips, Inc.",East of Frazell & south of Tinapple Park,PND modification & Lot split (0.914 acre),PND (Brookfield Village),11/13/1997,n/a
,97-0043LC,,,S&G Metal Works,4830 Northwest Pkwy,M-5 plan & variance for lot coverage,M-5,11/13/1997,n/a
,97-0044LC,,,Ted Coleman,3885 Leemar Dr,Rezoning to B-3,R-2,12/11/1997,
,97-0045LC,,,Clarence Maxwell property,North of Scioto Darby Rd & west of Cosgray Rd,Lot split (2.000 acres),A-1,11/13/1997,n/a
,97-0046LC,,,Capital Area Humane Society,3015 Scioto Darby Executive Ct,Temporary use - Christmas trees sales,Not in Hilliard,Withdrawn,n/a
,97-0047LR,,,Alan Kent,3701 Boathouse Dr,PUD modification,PUD (River Landings),11/13/1997,
,97-0048LC,,,Robert Rothacker,Parkway Ln,Temporary use; Conditional use; M-5 plan; & variance (side and rear yard),M-5,12/11/1997; Exterior bldg. materials & colors on 3/12/98,n/a
,97-0049LC,,,Arby's,Cemetery Rd,CRCOD plan,B-2,01/08/1998,n/a
,97-0050LR,,,Hoffman Farms Section 1 Phase 1,,Final plat,PUD (Hoffman Farms),12/11/1997,
,97-0051LR,,,Hoffman Farms Section 1 Phase 2,,Final plat,PUD (Hoffman Farms),12/11/1997,
,97-0052LC,,,,South and east sides of Hertitage Club Dr and west of Main St,PUD modification & lot split,PUD (Heritage Lakes),12/11/1997,
,97-0053LC,,,Aqua Pure,4235 Leap Rd,M-5 plan,M-5,01/08/1998,n/a
,97-0054LC,050-002374,CEMETERY RD,Hilliard Square Shopping Center,,Lot split,B-2,01/08/1998,n/a
,97-0055LC,,,Gary Estep,5075 Britton Rd,PUD Modification & Final development plan,PUD (Britton Farms),02/12/1998,
,98-0001LC,,,,,,,,
,98-0002LC,,,Garden Ridge,3599 Park Mill Run Dr,PUD modification,PUD (Mill Run),03/12/1998,4/27/1998 (98-C-24)
,98-0003LC,,,Unique Flooring Outlet,"3670 Lyman Dr, Suite G",Conditional use,M-5,03/12/1998,n/a
,98-0004LR,,,Hoffman Farms Section 3 Phase 1,,Final plat,PUD (Hoffman Farms),04/09/1998,
,98-0005LR,,,Hoffman Farms Section 3 Phase 2,,Final plat,PUD (Hoffman Farms),04/09/1998,
,98-0006LC,,,Sylvan Learning Center,5334 Cemetery Rd,CRCOD plan,L-B-2,04/09/1998,n/a
,98-0007LC,,,Dave & Buster's,Mill Run subdivision lot 1,PUD modification & lot split,PUD (Mill Run),04/09/1998,4/27/1998 (98-C-23)
,98-0008LC,,,,,,,,
,98-0009LR,,,Hoffman Farms Section 2 Phase 1,,Final plat,PUD (Hoffman Farms),05/14/1998,
,98-0010LR,,,Hoffman Farms Section 2 Phase 2,,Final plat,PUD (Hoffman Farms),05/14/1998,
,98-0011LC,,,The Great Outdoors,3599 Park Mill Run Dr,PUD modification,PUD (Mill Run),Withdrawn,n/a
,98-0012LC,,,"Ninety Seven, Inc.",5499 Constitution Blvd,Lot split,B-2,05/14/1998,n/a
,98-0013LC,,,Ansmil,,Rezone to PUD,A-1,,
,98-0014LC,,,Mayco Colors,4077 Weaver Court South,M-5 plan,M-5,05/14/1998,n/a
,98-0015LC,,,S&G Metal Works,4830 Northwest Pkwy,M-5 plan & conditional use transfer from B-2 to M-5 to permit automotive repair,M-5,07/09/1998,n/a
,98-0016LC,,,Cubberly Center,4519 Cemetery Rd,CRCOD plan,L-B-5,07/09/1998,n/a
,98-0017LR,,,Coventry Manor,Cosgray Rd & Scioto Darby Rd,Rezoning to PUD,B-4,06/11/1998,
,98-0018LC,,,Hilliard United Methodist Church,3701 Main St,Conditional use transfer from M-5 to B-2 to permit warehousing,B-2,06/11/1998,
,98-0019LC,,,CSR Pipeline Systems,4143 Weaver Court South,M-5 plan - outdoor storage,M-5,07/09/1998,n/a
,98-0020LC,,,Arco Flooring Company,"3700 Parkway Lane, Suite J & K",Conditional use - wholesale business & ancillary retail,M-5,07/09/1998,n/a
,98-0021LR,,,"Norfolk Investments, Ltd.",Cosgray Rd,Rezone to PND,A-1,Denied 9/10/98,
,98-0022LC,,,Seafood International,4180 Weaver Ct,Conditional use - wholesale business,M-5,08/13/1998,n/a
,98-0023LR,,,Fry residence,3372 River Landings Blvd,PUD modification,PUD (River Landings),08/13/1998,
,98-0024LC,,,Sutphen Towers,4500 Sutphen Ct,M-5 plan,M-5,07/09/1998,n/a
,98-0025LR,,,Walker property,East of Alton Darby Rd north of Pinefield Dr,Rezone to PND,A-1,01/14/1999,Ord. 99-17
,98-0026LC,,,Office Depot,3781 Park Mill Run Dr,PUD modificaton & Final development plan revision,PUD (Mill Run),10/08/1998,10/26/1998 (98-C-40)
,98-0027LC,,,Nations Rent,5274 Cemetery Rd,CRCOD plan,L-B-2,10/08/1998,n/a
,98-0028LC,,,Klean-A-Kar Express,3880 Brown Park Dr,CRCOD plan,L-B-4,10/08/1998,n/a
,98-0029LC,,,Miller Pipeline,5032 Scioto Darby Rd,Warehousing & outside storage,B-4,10/08/1998,n/a
,98-0030LR,050-004802 050-004803 050-008253,Not Found,Weston Trail,East side of Leppert Rd approximately 1050 feet south of Davidson Rd,Preliminary plat,R-2,11/12/1998,
PZ-1998-1,98-0031LR,050-003879,Not Found,Yocca & Ballenger partnership,Wilcox Rd,Rezoning to R-6,A-1,Tabled indefinitely 12/10/98,n/a
PZ-1998-2,98-0032LC,,,Ansmil,,Rezoning to PUD,A-1,07/08/1999,Ord. 99-57
PZ-1998-3,98-0033LC,,,Scioto Darby Concrete,4540 Edgewyn Ave,M-5 plan,M-5,11/12/1998,n/a
,98-0034LR,,,Northhampton Chase subdivision,4125 & 4141 Dublin Rd,Final plat,PND,11/12/1998,
PZ-1998-4,98-0035LC,,,Mitchell Insurance,5001 Cemetery Rd,CRCOD plan,L-B-1,12/10/1998,n/a
PZ-1998-5,98-0036LC,,,David Stanley property,5093 & 5105 Cemetery Rd,CRCOD plan,L-B-1,12/10/1998,n/a
PZ-1998-7,98-0037LC,,,"Rothacker Family Partnership, Ltd.",3250 Parkway Ln,Conditional use - warehousing; & rear & side yard setback variances,M-5,12/10/1998,n/a
PZ-1998-8,98-0038LC,,,Steve Stein,5250 Franklin St,CRCOD plan; Conditional use - warehousing; & side yard setback variance,M-2,Denied 12/10/98,n/a
PZ-1998-6,98-0039LR,050-007701,Not Found,Walker property,Alton Darby Rd,Rezoning to PND,A-1,01/14/1999,Ord. 99-88
PZ-1998-9,98-0040LC,,,"Vanner, Inc.",4282 Reynolds Dr,M-5 plan,M-5,01/14/1999,n/a
PZ-1998-10,98-0041LR,,,"Brookfield Village, Section 7",,Final plat,PND (Brookfield Village),01/14/1999,
PZ-1998-11,98-0042LR,,,Weston Trail Phase 1,Leppert Rd south of Davidson Rd,Final plat,R-2,02/11/1999,
PZ-1999-1,99-0001LR,,,Schemine residence,4920 Silo Ct,PUD modification,PUD ( Britton Farms),02/11/1999,
PZ-1999-2,99-0002LR,,,Hilliard Storage Inns,3950 Lyman Dr,Variance - lot coverage,M-5,Withdrawn,n/a
PZ-1999-3,99-0003LR,050-008206,COSGRAY RD,Degraw property,Cosgray Rd,Rezoning to R-2,A-1,05/13/1999,
PZ-1999-4,99-0004LR,,,Hoyt & Criner property,4196 Stallar Dr,PND modification,PND (Scioto Run),03/11/1999,
PZ-1999-5,99-0005LC,,,"Norfolk Investments, LLC property",Cosgray Rd,PND modification,PND (Wellington Estates),03/11/1999,
PZ-1999-6,99-0006LC,050-003168,Not Found,Soma Company,"East of I-270, south of Davidson Rd, west of Schirtzinger Rd",Lot split,,04/08/1999,n/a
PZ-1999-7,99-0007LC,050-003207 050-003043,4530 GENEROSITY WY,Soma Company,"East of I-270, south of Davidson Rd, west of Schirtzinger Rd",Lot split,,04/08/1999,n/a
PZ-1999-8,99-0008LC,,,"Red Roof Inns, Inc.",4355 Davidson Rd,Lot split,,04/08/1999,n/a
PZ-1999-9,99-0009LC,052-000007 052-000008 052-000009,,AI Limited - (Silverton Farms),"West of Wilcox Rd, north of Hayden Run Rd, east of Avery Rd",Rezoning to PND,A-1,08/12/1999,
PZ-1999-10,99-0010LC,,,Sutphen Towers,4500 Sutphen Ct,M-5 plan,M-5,04/08/1999,n/a
,99-00011LR,,,Homewood Corp.,4668 Huntwicke Dr,PUD modification,PUD (Britton Farms),05/13/1999,
PZ-1999-12,99-0012LR,,,"Brookfield Village, Section 8",,Final plat,PND (Brookfield Village),05/13/1999,
PZ-1999-13,99-0013LC,,,B&A Realty,5017 Cemetery Rd,CRCOD plan,L-B-1,09/09/1999,n/a
PZ-1999-14,99-0014LC,,,Stauf's Coffee Roasters,3700 Parkway Ln,Conditional use - wholesale business,M-5,05/13/1999,n/a
PZ-1999-15,99-0015LC,,,Ohio Laminating & Binding,4364 Reynolds Dr,M-5 plan,M-5,05/13/1999,n/a
PZ-1999-16,99-0016LR,050-003043,4530 GENEROSITY WY,Soma Company,Western terminus of Scioto Run Blvd,Lot split,,Tabled indefinitely 9/9/99,n/a
PZ-1999-17,99-0017LR,,,Nigam residence,4774 Britton Farms Dr,PUD modification,PUD (Britton Farms),05/13/1999,
PZ-1999-18,99-0018LC,,,"Vanner, Inc.",4282 Reynolds Dr,Temporary classroom trailer,M-5,05/13/1999,n/a
PZ-1999-19,99-0019LC,,,American Pacific Enterprises,4251 Leap Rd,Conditional use - warehousing,M-5,Withdrawn 6/10/1999,n/a
PZ-1999-20,99-0020LC,,,Kerbler Builders,4871 Northwest Pkwy,Conditional use transfer from B-2 to M-5 to permit automotive repair,M-5,06/10/1999,
PZ-1999-21,99-0021LC,,,"Transport Specialists, Inc.",4300 Lyman Dr,M-5 plan,M-5,Tabled indefinitely 9/9/99,n/a
PZ-1999-31,99-0022LR,,,Scioto Run West,Western terminus of Scioto Run Blvd,Final plat,PUD (Soma Co.),06/10/1999,
PZ-1999-22,99-0023LR,,,Anita Westfall,"3919 Parkway Ln, Unit 1",Conditional use - commercial recreation (cheerleading gym),M-5,07/08/1999,n/a
PZ-1999-23,99-0024LC,,,Larry Adams,4920 Scioto Darby Rd,Conditional use transfer from B-2 to B-4 to permit automotive repair,B-4,07/08/1999,
PZ-1999-24,99-0025LC,,,Certified Oil Company,4546 Cemetery Rd,CRCOD plan,L-B-4,07/08/1999,n/a
PZ-1999-25,99-0026LR,,,Buoni & Lewis properties,5199 & 5193 Norwich Street,Right-of-way vacation,B-6,03/09/2000,
PZ-1999-26,99-0027LC,,,Loeb Electric,4421 Cemetery Rd,M-5 plan,M-5,07/08/1999,n/a
PZ-1999-27,99-0028LC,,,Mark Martin Motors,5092 Cemetery Rd,CRCOD plan,L-B-4,Withdrawn,n/a
PZ-1999-28,99-0029LR,,,Heck residence,3794 Confluence Dr,PND modification,PND,07/08/1999,n/a
PZ-1999-29,99-0030LR,050-008208,Not Found,Oakmont Partners,,Rezoning to PUD,A-1,11/10/1999,
PZ-1999-30,99-0031LR,050-005618,Not Found,Oakmont Partners,,Rezoning to PUD,A-1,11/10/1999,
PZ-1999-32,99-0032LR,050-002402 050-002280 050-001871,Not Found,Sleep Inn Motel,,"M-5 plan, CRCOD plan, & Conditional use to permit motel",L-M-5,11/10/1999,n/a
PZ-1999-33,99-0033LC,,,Columbus Kenworth,4039 Lyman Dr,M-5 plan & Conditional use to permit warehousing,M-5,08/12/1999,n/a
PZ-1999-34,99-0034LC,,,Pickups Plus,4537 Cemetery Rd,CRCOD plan,L-B-5,08/12/1999,n/a
PZ-1999-35,99-0035LC,,,BWA Supply,4501 Sutphen Ct,M-5 plan & Conditional use,M-5,08/12/1999,n/a
PZ-1999-36,99-0036LC,,,Kroger,4656 Cemetery Rd,CRCOD plan,L-B-2,08/12/1999,n/a
PZ-1999-37,99-0037LR,050-007624,4311 - 4345 COSGRAY RD,Hoffman Farms Section 5 Phase 1,,Final plat,PUD (Hoffman Farms),08/12/1999,
PZ-1999-38,99-0038LR,050-007624,4311 - 4345 COSGRAY RD,Hoffman Farms Section 5 Phase 2,,Final plat,PUD (Hoffman Farms),08/12/1999,
PZ-1999-39,99-0039LR,050-007624,4311 - 4345 COSGRAY RD,Hoffman Farms Section 5 Phase 3,,Final plat,PUD (Hoffman Farms),08/12/1999,
PZ-1999-40,99-0040LR,050-007624,4311 - 4345 COSGRAY RD,Hoffman Farms Section 4 Phase 1,,Final plat,PUD (Hoffman Farms),08/12/1999,
PZ-1999-41,99-0041LR,050-007624,4311 - 4345 COSGRAY RD,Hoffman Farms Section 4 Phase 2,,Final plat,PUD (Hoffman Farms),08/12/1999,
PZ-1999-42,99-0042LC,,,"Vanner, Inc.",4282 Reynolds Dr,Temporary classroom trailer,M-5,09/09/1999,
PZ-1999-43,99-0043L,,,,,,,,
PZ-1999-44,99-0044LR,,,Ray's Crossing,5094 Wilcox Rd,Sketch plan,A-1,Reviewed 9/9/99,n/a
PZ-1999-45,99-0045LC,,,AT&T Wireless Services,Northeast clover leaf I-270 & Cemetery Rd,Special permit for telecommunications tower,,10/14/1999,n/a
PZ-1999-46,99-0046LC,050-006381,3325 HILLIARD & ROME RD,Zaring Campbell Company,,Lot split,PUD (Heritage Lakes),10/14/1999,n/a
PZ-1999-47,99-0047LC,050-002081,3325 HILLIARD & ROME RD,Zaring Campbell Company,,Lot split,PUD (Heritage Lakes),10/14/1999,n/a
PZ-1999-48,99-0048LR,,,Multiple properties,Alley between Norwich St & Center St,Right-of-way vacation,B-6,10/14/1999,
PZ-1999-49,99-0049LR,,,Nasco Development,Southwest corner Scioto Darby Rd & Moundview Dr,Lot split,R-6,10/14/1999,n/a
PZ-1999-50,99-0050LR,,,McMurry residence,5796 Lakeview Dr,PUD modification,PUD (Hoffman Farms),10/14/1999,
PZ-1999-51,99-0051LR,,,Wellington Estates,,Preliminary plat,PND,10/14/1999,n/a
PZ-1999-52,99-0052LR,051-000001 052-000023,,Ray's Crossing,5094 Wilcox Rd,Rezoning to R-6,A-1,11/10/1999,
PZ-1999-53,99-0053LR,,,Troyer Tract,,Rezone to PND,A-1,10/14/1999,
PZ-1999-54,99-0054LC,,,United Dairy Farmers (UDF),4640 Cemetery Rd,CRCOD plan & conditional use,L-B-2,12/09/1999,n/a
