OpenGov Record #,CASE #,PARCEL #,Auditor Listed Address,PROJECT NAME,LOCATION,APPLICATION TYPE,ZONING,P&Z APPROVAL,COUNCIL APPROVAL
PZ-15-61,15-0231LC,050-008255,ANSON DR,Rock City Church,4202 Anson Dr (Ansmil PUD Subarea C7),Conditional use & PUD Final Development Plan,PUD (Ansmil),12/10/2015,n/a
PZ-15-62,15-0232LC,050-010749,Not Found,Greyson at Hickory Chase apartments,4510 Hickory Chase Way (Ansmil PUD Subarea E1),PUD Final Development Plan (492 apartments on 23.6 acres),PUD (Ansmil),01/14/2016,n/a
PZ-15-63,15-0233LR,050-008358,Not Found,Brickstone Green condos,4248 Cosgray Rd,Sign variance - subdivision development sign,PUD (Hoffman Farms),12/10/2015,n/a
PZ-15-64,15-0234LR,053-000022,,"Heritage Preserve Subarea A-2, A-3, A-4, & A-6","Subarea A-2, A-3, A-4, & A-6",Lot split,PUD (Heritage Preserve),12/10/2015,n/a
PZ-15-65,15-0235LR,053-000022,,Heritage Preserve Section 3 Phase 2,"Subarea A-2, A-3, A-4, & A-6",Final Plat,PUD (Heritage Preserve),12/10/2015,1/11/16 (16-R-06)
PZ-16-1,16-0236LC,050-005623,6304 - 6356 SCIOTO DARBY RD,New Grounds Coffee House,6318 Scioto Darby Rd,Sign variance - internal illumination menu sign,PUD (Darby Town Center),02/11/2016,n/a
PZ-16-2,16-0237LC,050-008254,4501 DAVIDSON RD,Wolpert Enterprises Ltd. Property,4549 Davidson Rd,Lot split,PUD (Ansmil),01/14/2016,n/a
PZ-16-3,16-0238LC,050-002871,4731 - 4751 NORTHWEST PW,Guide Church Baptist,4190 Weaver Ct South,Conditional use - place of worship,M-1,03/10/2016,n/a
PZ-16-4,16-0239LR,050-000252 050-000268 050-000364,Not Found,Rosnagle property (Norwich Cottages),5154 Norwich St,Concept Plan and PUD Zoning,OH-RD,Denied 4/14/16,Withdrawn 6/3/16
PZ-16-5,16-0240LC,050-002992,4389 - 4445 N WEAVER CT,Omniscapes,4445 Weaver Court North,"Level ""A"" site plan",M-1,3/2/16 by staff,n/a
PZ-16-6,16-0241LC,050-007238,3799 PARK MILL RUN DR,Point Blank,3799 Park Mill Run Dr,PUD modification & final development plan modification,PUD (Mill Run),Denied 4/14/16,Denied 5/23/16 (16-R-41)
PZ-16-7,16-0242LC,050-006632,4348 REYNOLDS DR,Ferguson Construction,4348 Reynolds Dr,"Level ""B"" site plan minor changes",M-1,04/14/2016,n/a
PZ-16-8,16-0243LC,050-002579,4896 SCIOTO DARBY RD,Kimes Automotive,4896 Scioto Darby Rd,Sign variance - wall signs,B-2,04/14/2016,n/a
PZ-16-11,16-0244LC,050-000868,4162 COLUMBIA ST,Hilliard Ohio Historical Society,4162 Columbia St,Sign variance - banner sign,S-1,04/14/2016,n/a
PZ-16-9,16-0245LC,050-000051,4138 MAIN ST,Whit's Frozen Custard,4138 Main St,Old Hilliard District Plan,OH-MD,04/14/2016,n/a
PZ-16-10,16-0246LC,050-011217,4303 TRUEMAN BL,Hilliard Assisted Living,4303 Trueman Blvd,Sign variance - temporary sign,PUD (Soma),04/14/2016,n/a
PZ-16-12,16-0247LC,050-008256,4674 BRITTON PW,Hospital & Medical Office Building - Ansmil Subarea C1a & C2 (Mt. Carmel),Subarea C1a & C2,"Lot split, PUD modification, conditional use, and Final Development Plan",PUD (Ansmil),04/14/2016,7/11/16 (16-R-61)
PZ-16-13,16-0248LC,050-000084 050-000188,4055 MAIN ST,M&K Investments,4055 Main St,Old Hilliard District Plan,OH-MD,5/12/16 (Doors and windows only),n/a
PZ-16-16,16-0249LC,050-003005,5657 SCIOTO DARBY RD,Sunrise Academy,5657 Scioto Darby Rd,"Level ""A"" site plan",B-3,Denied 7/14/16,n/a
PZ-16-17,16-0250LC,050-003005,5657 SCIOTO DARBY RD,Sunrise Academy,5657 Scioto Darby Rd,Conditional use - elementary school,B-3,Denied 7/14/16 Reconsider 8/9/16 Denied 6/8/17,n/a
PZ-16-14,16-0251LC,050-000039 050-000227,3981 MAIN ST; 3981 - 3983 MAIN ST,Twins Café & Hookah Lounge,3981 & 3983 Main St,Old Hilliard District Plan,OH-MD,05/12/2016,n/a
PZ-16-15,16-0252LC,050-009807,Not Found,Bo Jackson's Elite Sports,4617 Cosgray Rd,Lot split,S-1,05/12/2016,n/a
PZ-16-18,16-0253LC,050-003297,4401 LYMAN DR,Bestway Cabinets,"4401 Lyman Dr, Suite B",Sign variance - colors,B-4,Denied 6/9/16,n/a
